18:26:30 scheduler start
18:26:30 launched a0_s0 (w=1)
18:26:30 launched a1_s0 (w=1)
18:26:30 launched a2_s0 (w=1)
18:26:30 launched a3_s0 (w=1)
20:23:56 finished a0_s0 rc=0
20:23:56 launched a4l0.1_s0 (w=1)
20:24:36 finished a2_s0 rc=0
20:24:36 launched a4l0.3_s0 (w=1)
20:25:36 better of arms 1/2 = a1 (0.11221 vs 0.11374)
20:25:36 finished a1_s0 rc=0
20:25:36 launched a4l1_s0 (w=1)
20:26:17 finished a3_s0 rc=0
20:26:17 launched a3_s1 (w=1)
22:21:23 finished a3_s1 rc=0
22:21:23 launched a3_s2 (w=1)
22:46:08 finished a4l0.3_s0 rc=0
22:46:08 launched a1_s1 (w=1)
22:46:28 finished a4l0.1_s0 rc=0
22:46:28 launched a1_s2 (w=1)
22:48:49 lambda* = 0.3 ({0.1: 0.11464321725596452, 0.3: 0.11344130853686797, 1.0: 0.11381839518546988})
22:48:49 finished a4l1_s0 rc=0
22:48:49 launched a4l0.3_s1 (w=1)
00:16:48 finished a3_s2 rc=0
00:16:48 launched a4l0.3_s2 (w=1)
00:40:12 finished a1_s1 rc=0
00:40:13 launched a0_s1 (w=1)
00:42:33 finished a1_s2 rc=0
00:42:33 launched a0_s2 (w=1)
01:05:38 finished a4l0.3_s1 rc=0
01:05:38 launched a2_s1 (w=1)
02:33:36 finished a0_s1 rc=0
02:33:36 launched a2_s2 (w=1)
02:36:17 finished a4l0.3_s2 rc=0
02:37:57 finished a0_s2 rc=0
02:37:57 launched eval_a0_s0 (w=2)
02:58:21 finished a2_s1 rc=0
02:59:01 finished eval_a0_s0 rc=0
02:59:01 launched eval_a0_s1 (w=2)
03:20:23 finished eval_a0_s1 rc=0
03:20:23 launched eval_a0_s2 (w=2)
03:41:26 finished eval_a0_s2 rc=0
03:41:26 launched eval_a1_s0 (w=2)
04:02:28 finished eval_a1_s0 rc=0
04:02:28 launched eval_a1_s1 (w=2)
04:23:30 finished eval_a1_s1 rc=0
04:23:30 launched eval_a1_s2 (w=2)
04:27:10 finished a2_s2 rc=0
04:27:10 launched eval_a2_s0 (w=2)
04:44:13 finished eval_a1_s2 rc=0
04:44:13 launched eval_a2_s1 (w=2)
04:47:54 finished eval_a2_s0 rc=0
04:47:54 launched eval_a2_s2 (w=2)
05:04:57 finished eval_a2_s1 rc=0
05:04:57 launched eval_a3_s0 (w=2)
05:08:38 finished eval_a2_s2 rc=0
05:08:38 launched eval_a3_s1 (w=2)
05:26:21 finished eval_a3_s0 rc=0
05:26:21 launched eval_a3_s2 (w=2)
05:30:01 finished eval_a3_s1 rc=0
05:30:01 launched eval_a4l0.3_s0 (w=2)
05:47:25 finished eval_a3_s2 rc=0
05:47:25 launched eval_a4l0.3_s1 (w=2)
05:51:05 finished eval_a4l0.3_s0 rc=0
05:51:05 launched eval_a4l0.3_s2 (w=2)
06:08:28 finished eval_a4l0.3_s1 rc=0
06:08:28 launched emprior (w=2)
06:12:09 finished eval_a4l0.3_s2 rc=0
